Company,Assets,Capex,Cashflow_Financing,Cashflow_Investing,Cashflow_Net,Cashflow_Operating,Current_Ratio,Debt_Service_Ratio,Depreciation,EBITDA,Equity,Financial income,Gross_Profit,Long_Term_Liabilities,Net_Profit,Operating_Profit,Other_Op_Income,Profit_Before_Tax,Quick_Ratio,ROA_reported,ROE_reported,Revenue,Share_Capital,Short_Term_Liabilities,current assets,fixed assets
Alior Bank,96589402000.0,-44588000.0,-21472000.0,139798000.0,3234189000.0,3115863000.0,,,61705000.0,775438000.0,11843329000.0,,846715000.0,,476314000.0,713733000.0,24497000.0,642227000.0,,0.03,0.22,2039533000.0,1305540000.0,,,
Allegro,19630200000.0,-205300000.0,-146700000.0,-278400000.0,-259500000.0,165600000.0,2.26,5.9,229000000.0,710500000.0,10407100000.0,39600000.0,607100000.0,6831900000.0,296500000.0,481500000.0,,393100000.0,2.18,0.06,0.11,2622400000.0,10600000.0,2391200000.0,5400700000.0,14229500000.0
Budimex,7702503000.0,-36640000.0,-16073000.0,-35540000.0,-267350000.0,-215737000.0,1.05,16.58,40922000.0,151774000.0,1345359000.0,38683000.0,92721000.0,1026149000.0,114323000.0,110852000.0,38847000.0,131206000.0,0.92,0.08,0.48,1642059000.0,145848000.0,5280004000.0,5538502000.0,2164001000.0
CCC,9051900000.0,-476900000.0,-716700000.0,-400500000.0,194700000.0,1311900000.0,1.16,3.43,599100000.0,1634700000.0,1800000000.0,12800000.0,998400000.0,3057900000.0,956900000.0,1035600000.0,70500000.0,918700000.0,0.28,0.12,0.71,10302800000.0,6900000.0,4058100000.0,4706200000.0,4345700000.0
CD Projekt,3119131000.0,-36314000.0,-950000.0,-57766000.0,92396000.0,151112000.0,6.8,29.93,16743000.0,112337000.0,2892578000.0,39953000.0,95144000.0,22348000.0,86003000.0,95594000.0,1935000.0,113311000.0,6.8,0.16,0.17,226305000.0,99911000.0,204205000.0,1389258000.0,1729873000.0
Dino,12803670000.0,-515635000.0,-7506000.0,-513017000.0,-513798000.0,6725000.0,0.81,19.92,118161000.0,532260000.0,7402054000.0,2862000.0,411336000.0,613953000.0,311245000.0,414099000.0,8327000.0,385554000.0,0.15,0.13,0.23,7354297000.0,9804000.0,4770246000.0,3860529000.0,8943141000.0
Grupa Kęty,4360000000.0,-45000000.0,-179000000.0,-45000000.0,-25000000.0,199000000.0,1.64,11.13,58000000.0,228000000.0,2067000000.0,4000000.0,168000000.0,1186000000.0,121000000.0,170000000.0,4000000.0,152000000.0,0.85,0.13,0.28,1406000000.0,68000000.0,1106000000.0,1813000000.0,2547000000.0
LPP,1919200000.0,-10200000.0,2700000.0,-5300000.0,-28600000.0,-26000000.0,1.44,2.63,15300000.0,18400000.0,1034300000.0,3200000.0,3200000.0,123500000.0,-6700000.0,3100000.0,1800000.0,-4000000.0,0.72,0.0,0.0,566900000.0,15600000.0,761400000.0,1097200000.0,822000000.0
Orange,26488000000.0,-667000000.0,154000000.0,-906000000.0,-23000000.0,729000000.0,0.92,9.91,654000000.0,966000000.0,13780000000.0,21000000.0,259000000.0,8361000000.0,191000000.0,312000000.0,214000000.0,232000000.0,0.85,0.03,0.06,3153000000.0,3937000000.0,4345000000.0,3994000000.0,22494000000.0
Orlen,260752000000.0,-6801000000.0,-233000000.0,-6786000000.0,8723000000.0,15742000000.0,1.24,17.27,3347000000.0,10167000000.0,149639000000.0,307000000.0,7839000000.0,50542000000.0,4279000000.0,6820000000.0,1245000000.0,6618000000.0,0.96,0.04,0.06,73535000000.0,1974000000.0,59545000000.0,73669000000.0,186975000000.0
PZU,507926000000.0,-269000000.0,-1927000000.0,3372000000.0,7078000000.0,5633000000.0,,,380000000.0,5330000000.0,34055000000.0,-49000000.0,6005000000.0,,1760000000.0,4950000000.0,1390000000.0,4454000000.0,,0.03,0.2,15653000000.0,86000000.0,,,
Pekao,333313000000.0,-130000000.0,-1624000000.0,2840000000.0,2961000000.0,1745000000.0,,,187000000.0,2598000000.0,33976000000.0,,2554000000.0,,1685000000.0,2411000000.0,56000000.0,2193000000.0,,0.02,0.21,5944000000.0,262000000.0,,,
Pepco,3534065000.0,-52586000.0,-259408000.0,-42835000.0,-30350000.0,271893000.0,,,531320000.0,452106000.0,324385000.0,9751000.0,161216000.0,1627597000.0,-151447000.0,-79214000.0,,-129560000.0,,,,3338333000.0,5760000.0,1582083000.0,1575531000.0,1958534000.0
Pge,104710000000.0,-1893000000.0,-1576000000.0,-1910000000.0,1252000000.0,4738000000.0,0.84,16.67,1050000000.0,4310000000.0,47200000000.0,,3177000000.0,23607000000.0,2416000000.0,3260000000.0,80000000.0,3012000000.0,0.44,-0.01,-0.03,17167000000.0,19184000000.0,32789000000.0,27477000000.0,77233000000.0
Pko,531355000000.0,-135000000.0,3109000000.0,-5158000000.0,-6469000000.0,-4420000000.0,,,397000000.0,4064000000.0,55383000000.0,,3885000000.0,,2469000000.0,3667000000.0,109000000.0,3383000000.0,,0.02,0.19,10138000000.0,1250000000.0,,,
Santander,313716818000.0,-88018000.0,-311747000.0,-5136814000.0,937252000.0,6385813000.0,,,161838000.0,2680252000.0,34579165000.0,,2777289000.0,,1733624000.0,2518414000.0,45794000.0,2332225000.0,,0.02,0.16,5952346000.0,1021893000.0,,,
mBank,246067967000.0,-201896000.0,-2089880000.0,-180515000.0,-19958842000.0,-17688447000.0,,,148374000.0,1324957000.0,17048737000.0,,1345654000.0,,705671000.0,1176583000.0,106221000.0,989460000.0,,0.01,0.17,4541874000.0,169988000.0,,,
Żabka,17321000000.0,-517000000.0,-264000000.0,-506000000.0,-198000000.0,572000000.0,0.54,3.3,439000000.0,545000000.0,1321000000.0,24000000.0,626000000.0,8683000000.0,-125000000.0,106000000.0,5000000.0,-121000000.0,0.41,,,5666000000.0,120000000.0,7317000000.0,3972000000.0,13349000000.0
